substrate,replicate,count,species
F. mucoso,cage5,36,Zaprionus
F. mucoso,cage5,2,montium group
F. mucoso,cage5,4,other
S. ellipticum,cage5,0,D. santomea
S. ellipticum,cage5,0,D. yakuba
S. ellipticum,cage5,0,Zaprionus
S. ellipticum,cage5,0,montium group
S. ellipticum,cage5,0,other
C. stelluifer,cage5,0,D. santomea
C. stelluifer,cage5,0,D. yakuba
C. stelluifer,cage5,0,Zaprionus
C. stelluifer,cage5,0,montium group
C. stelluifer,cage5,0,other
H. henriquesii,cage5,0,D. santomea
H. henriquesii,cage5,0,D. yakuba
H. henriquesii,cage5,0,Zaprionus
H. henriquesii,cage5,0,montium group
H. henriquesii,cage5,0,other
P. subcordata,cage5,0,D. santomea
P. subcordata,cage5,0,D. yakuba
P. subcordata,cage5,0,Zaprionus
P. subcordata,cage5,0,montium group
P. subcordata,cage5,0,other
P. acutiflora,cage5,0,D. santomea
P. acutiflora,cage5,0,D. yakuba
P. acutiflora,cage5,0,Zaprionus
P. acutiflora,cage5,0,montium group
P. acutiflora,cage5,0,other
A. vogelianum,cage5,0,D. santomea
A. vogelianum,cage5,0,D. yakuba
A. vogelianum,cage5,0,Zaprionus
A. vogelianum,cage5,0,montium group
A. vogelianum,cage5,0,other
S. i. ingrata,cage5,0,D. santomea
S. i. ingrata,cage5,0,D. yakuba
S. i. ingrata,cage5,0,Zaprionus
S. i. ingrata,cage5,0,montium group
S. i. ingrata,cage5,0,other
P. guajava,cage5,0,D. santomea
P. guajava,cage5,20,D. yakuba
P. guajava,cage5,57,Zaprionus
P. guajava,cage5,2,montium group
P. guajava,cage5,10,other
