species,month,year,count,type
Ficus clamydocarpa fernandesiana,OCT,2018,10,Fruit
Ficus kamerounesis,OCT,2018,0,Fruit
Ficus mucoso,OCT,2018,0,Fruit
Sapium ellipticum,OCT,2018,1,Fruit
Croton stelluifer,OCT,2018,1,Fruit
Homalium henriquesii,OCT,2018,6,Fruit
Psydrax subcordata,OCT,2018,20,Fruit
Psydrax acutiflora,OCT,2018,32,Fruit
Antidesma vogelianum,OCT,2018,0,Fruit
Sabicea ingrata ingrata,OCT,2018,13,Fruit
Psidium guajava,OCT,2018,2,Fruit
D. santomea_Obo,OCT,2018,21,Drosophila
F1_Obo,OCT,2018,0,Drosophila
D. yakuba_Obo,OCT,2018,56,Drosophila
D. santomea_BS,OCT,2018,42,Drosophila
F1_BS,OCT,2018,0,Drosophila
D. yakuba_BS,OCT,2018,3,Drosophila
D. yakuba_MC,OCT,2018,22,Drosophila
Ficus clamydocarpa fernandesiana,NOV,2018,2,Fruit
Ficus kamerounesis,NOV,2018,0,Fruit
Ficus mucoso,NOV,2018,0,Fruit
Sapium ellipticum,NOV,2018,0,Fruit
Croton stelluifer,NOV,2018,4,Fruit
Homalium henriquesii,NOV,2018,0,Fruit
Psydrax subcordata,NOV,2018,10,Fruit
Psydrax acutiflora,NOV,2018,22,Fruit
Antidesma vogelianum,NOV,2018,0,Fruit
Sabicea ingrata ingrata,NOV,2018,1,Fruit
Psidium guajava,NOV,2018,0,Fruit
D. santomea_Obo,NOV,2018,0,Drosophila
F1_Obo,NOV,2018,0,Drosophila
D. yakuba_Obo,NOV,2018,1,Drosophila
D. santomea_BS,NOV,2018,14,Drosophila
F1_BS,NOV,2018,0,Drosophila
D. yakuba_BS,NOV,2018,4,Drosophila
D. yakuba_MC,NOV,2018,10,Drosophila
Ficus clamydocarpa fernandesiana,DEC,2018,1,Fruit
Ficus kamerounesis,DEC,2018,0,Fruit
Ficus mucoso,DEC,2018,2,Fruit
Sapium ellipticum,DEC,2018,1,Fruit
Croton stelluifer,DEC,2018,6,Fruit
Homalium henriquesii,DEC,2018,2,Fruit
Psydrax subcordata,DEC,2018,4,Fruit
Psydrax acutiflora,DEC,2018,0,Fruit
Antidesma vogelianum,DEC,2018,0,Fruit
Sabicea ingrata ingrata,DEC,2018,0,Fruit
Psidium guajava,DEC,2018,2,Fruit
D. santomea_Obo,DEC,2018,6,Drosophila
F1_Obo,DEC,2018,0,Drosophila
D. yakuba_Obo,DEC,2018,2,Drosophila
D. santomea_BS,DEC,2018,0,Drosophila
F1_BS,DEC,2018,0,Drosophila
D. yakuba_BS,DEC,2018,6,Drosophila
D. yakuba_MC,DEC,2018,16,Drosophila
Ficus clamydocarpa fernandesiana,JAN,2019,3,Fruit
Ficus kamerounesis,JAN,2019,5,Fruit
Ficus mucoso,JAN,2019,9,Fruit
Sapium ellipticum,JAN,2019,12,Fruit
Croton stelluifer,JAN,2019,11,Fruit
Homalium henriquesii,JAN,2019,34,Fruit
Psydrax subcordata,JAN,2019,14,Fruit
Psydrax acutiflora,JAN,2019,29,Fruit
Antidesma vogelianum,JAN,2019,1,Fruit
Sabicea ingrata ingrata,JAN,2019,6,Fruit
Psidium guajava,JAN,2019,0,Fruit
D. santomea_Obo,JAN,2019,11,Drosophila
F1_Obo,JAN,2019,5,Drosophila
D. yakuba_Obo,JAN,2019,23,Drosophila
D. santomea_BS,JAN,2019,5,Drosophila
F1_BS,JAN,2019,0,Drosophila
D. yakuba_BS,JAN,2019,2,Drosophila
D. yakuba_MC,JAN,2019,43,Drosophila
Ficus clamydocarpa fernandesiana,FEB,2019,23,Fruit
Ficus kamerounesis,FEB,2019,40,Fruit
Ficus mucoso,FEB,2019,6,Fruit
Sapium ellipticum,FEB,2019,5,Fruit
Croton stelluifer,FEB,2019,15,Fruit
Homalium henriquesii,FEB,2019,44,Fruit
Psydrax subcordata,FEB,2019,51,Fruit
Psydrax acutiflora,FEB,2019,32,Fruit
Antidesma vogelianum,FEB,2019,22,Fruit
Sabicea ingrata ingrata,FEB,2019,25,Fruit
Psidium guajava,FEB,2019,4,Fruit
D. santomea_Obo,FEB,2019,96,Drosophila
F1_Obo,FEB,2019,11,Drosophila
D. yakuba_Obo,FEB,2019,54,Drosophila
D. santomea_BS,FEB,2019,49,Drosophila
F1_BS,FEB,2019,2,Drosophila
D. yakuba_BS,FEB,2019,11,Drosophila
D. yakuba_MC,FEB,2019,116,Drosophila
Ficus clamydocarpa fernandesiana,MAR,2019,30,Fruit
Ficus kamerounesis,MAR,2019,11,Fruit
Ficus mucoso,MAR,2019,9,Fruit
Sapium ellipticum,MAR,2019,2,Fruit
Croton stelluifer,MAR,2019,10,Fruit
Homalium henriquesii,MAR,2019,13,Fruit
Psydrax subcordata,MAR,2019,25,Fruit
Psydrax acutiflora,MAR,2019,44,Fruit
Antidesma vogelianum,MAR,2019,79,Fruit
Sabicea ingrata ingrata,MAR,2019,45,Fruit
Psidium guajava,MAR,2019,3,Fruit
D. santomea_Obo,MAR,2019,58,Drosophila
F1_Obo,MAR,2019,2,Drosophila
D. yakuba_Obo,MAR,2019,29,Drosophila
D. santomea_BS,MAR,2019,20,Drosophila
F1_BS,MAR,2019,5,Drosophila
D. yakuba_BS,MAR,2019,23,Drosophila
D. yakuba_MC,MAR,2019,99,Drosophila
Ficus clamydocarpa fernandesiana,APR,2019,31,Fruit
Ficus kamerounesis,APR,2019,2,Fruit
Ficus mucoso,APR,2019,5,Fruit
Sapium ellipticum,APR,2019,0,Fruit
Croton stelluifer,APR,2019,14,Fruit
Homalium henriquesii,APR,2019,22,Fruit
Psydrax subcordata,APR,2019,34,Fruit
Psydrax acutiflora,APR,2019,20,Fruit
Antidesma vogelianum,APR,2019,11,Fruit
Sabicea ingrata ingrata,APR,2019,43,Fruit
Psidium guajava,APR,2019,2,Fruit
D. santomea_Obo,APR,2019,77,Drosophila
F1_Obo,APR,2019,8,Drosophila
D. yakuba_Obo,APR,2019,56,Drosophila
D. santomea_BS,APR,2019,5,Drosophila
F1_BS,APR,2019,1,Drosophila
D. yakuba_BS,APR,2019,74,Drosophila
D. yakuba_MC,APR,2019,205,Drosophila
Ficus clamydocarpa fernandesiana,MAY,2019,10,Fruit
Ficus kamerounesis,MAY,2019,15,Fruit
Ficus mucoso,MAY,2019,6,Fruit
Sapium ellipticum,MAY,2019,0,Fruit
Croton stelluifer,MAY,2019,0,Fruit
Homalium henriquesii,MAY,2019,19,Fruit
Psydrax subcordata,MAY,2019,44,Fruit
Psydrax acutiflora,MAY,2019,6,Fruit
Antidesma vogelianum,MAY,2019,9,Fruit
Sabicea ingrata ingrata,MAY,2019,56,Fruit
Psidium guajava,MAY,2019,5,Fruit
D. santomea_Obo,MAY,2019,22,Drosophila
F1_Obo,MAY,2019,0,Drosophila
D. yakuba_Obo,MAY,2019,19,Drosophila
D. santomea_BS,MAY,2019,20,Drosophila
F1_BS,MAY,2019,0,Drosophila
D. yakuba_BS,MAY,2019,40,Drosophila
D. yakuba_MC,MAY,2019,104,Drosophila
Ficus clamydocarpa fernandesiana,JUN,2019,9,Fruit
Ficus kamerounesis,JUN,2019,0,Fruit
Ficus mucoso,JUN,2019,1,Fruit
Sapium ellipticum,JUN,2019,0,Fruit
Croton stelluifer,JUN,2019,2,Fruit
Homalium henriquesii,JUN,2019,1,Fruit
Psydrax subcordata,JUN,2019,12,Fruit
Psydrax acutiflora,JUN,2019,0,Fruit
Antidesma vogelianum,JUN,2019,0,Fruit
Sabicea ingrata ingrata,JUN,2019,3,Fruit
Psidium guajava,JUN,2019,1,Fruit
D. santomea_Obo,JUN,2019,0,Drosophila
F1_Obo,JUN,2019,0,Drosophila
D. yakuba_Obo,JUN,2019,4,Drosophila
D. santomea_BS,JUN,2019,0,Drosophila
F1_BS,JUN,2019,2,Drosophila
D. yakuba_BS,JUN,2019,12,Drosophila
D. yakuba_MC,JUN,2019,34,Drosophila
Ficus clamydocarpa fernandesiana,JUL,2019,1,Fruit
Ficus kamerounesis,JUL,2019,0,Fruit
Ficus mucoso,JUL,2019,0,Fruit
Sapium ellipticum,JUL,2019,0,Fruit
Croton stelluifer,JUL,2019,2,Fruit
Homalium henriquesii,JUL,2019,0,Fruit
Psydrax subcordata,JUL,2019,1,Fruit
Psydrax acutiflora,JUL,2019,1,Fruit
Antidesma vogelianum,JUL,2019,0,Fruit
Sabicea ingrata ingrata,JUL,2019,0,Fruit
Psidium guajava,JUL,2019,0,Fruit
D. santomea_Obo,JUL,2019,11,Drosophila
F1_Obo,JUL,2019,0,Drosophila
D. yakuba_Obo,JUL,2019,4,Drosophila
D. santomea_BS,JUL,2019,0,Drosophila
F1_BS,JUL,2019,1,Drosophila
D. yakuba_BS,JUL,2019,13,Drosophila
D. yakuba_MC,JUL,2019,38,Drosophila
Ficus clamydocarpa fernandesiana,AUG,2019,0,Fruit
Ficus kamerounesis,AUG,2019,1,Fruit
Ficus mucoso,AUG,2019,0,Fruit
Sapium ellipticum,AUG,2019,0,Fruit
Croton stelluifer,AUG,2019,0,Fruit
Homalium henriquesii,AUG,2019,2,Fruit
Psydrax subcordata,AUG,2019,1,Fruit
Psydrax acutiflora,AUG,2019,4,Fruit
Antidesma vogelianum,AUG,2019,0,Fruit
Sabicea ingrata ingrata,AUG,2019,0,Fruit
Psidium guajava,AUG,2019,0,Fruit
D. santomea_Obo,AUG,2019,5,Drosophila
F1_Obo,AUG,2019,0,Drosophila
D. yakuba_Obo,AUG,2019,0,Drosophila
D. santomea_BS,AUG,2019,7,Drosophila
F1_BS,AUG,2019,0,Drosophila
D. yakuba_BS,AUG,2019,1,Drosophila
D. yakuba_MC,AUG,2019,56,Drosophila
Ficus clamydocarpa fernandesiana,SEP,2019,22,Fruit
Ficus kamerounesis,SEP,2019,0,Fruit
Ficus mucoso,SEP,2019,0,Fruit
Sapium ellipticum,SEP,2019,1,Fruit
Croton stelluifer,SEP,2019,1,Fruit
Homalium henriquesii,SEP,2019,3,Fruit
Psydrax subcordata,SEP,2019,45,Fruit
Psydrax acutiflora,SEP,2019,22,Fruit
Antidesma vogelianum,SEP,2019,0,Fruit
Sabicea ingrata ingrata,SEP,2019,0,Fruit
Psidium guajava,SEP,2019,4,Fruit
D. santomea_Obo,SEP,2019,51,Drosophila
F1_Obo,SEP,2019,1,Drosophila
D. yakuba_Obo,SEP,2019,5,Drosophila
D. santomea_BS,SEP,2019,34,Drosophila
F1_BS,SEP,2019,0,Drosophila
D. yakuba_BS,SEP,2019,0,Drosophila
